iter	Passed	Remaining
402	12409	49175
403	12438	49139
404	12466	49094
405	12496	49063
406	12526	49028
407	12557	48998
408	12586	48959
409	12615	48924
410	12647	48896
411	12673	48847
412	12704	48818
413	12736	48793
414	12772	48783
415	12801	48745
416	12832	48715
417	12864	48688
418	12898	48670
419	12931	48645
420	12962	48617
421	12991	48578
422	13019	48537
423	13049	48504
424	13083	48484
425	13115	48460
426	13147	48432
427	13177	48400
428	13206	48362
429	13237	48332
430	13268	48303
431	13296	48261
432	13318	48198
433	13349	48168
434	13379	48136
435	13409	48100
436	13434	48052
437	13464	48018
438	13496	47992
439	13525	47953
440	13556	47925
441	13585	47888
442	13617	47860
443	13649	47833
444	13677	47794
445	13705	47754
446	13738	47730
447	13764	47684
448	13796	47658
449	13829	47633
450	13859	47600
451	13888	47565
452	13918	47532
453	13951	47507
454	13982	47477
455	14013	47448
456	14042	47412
457	14074	47385
458	14105	47355
459	14142	47345
460	14174	47321
461	14222	47345
462	14260	47341
463	14297	47329
464	14334	47319
465	14369	47302
466	14402	47278
467	14433	47247
468	14461	47207
469	14495	47187
470	14546	47220
471	14582	47208
472	14620	47199
473	14654	47180
474	14690	47164
475	14722	47138
476	14755	47113
477	14789	47092
478	14824	47072
479	14859	47054
480	14893	47033
481	14927	47011
482	14959	46984
483	14989	46951
484	15018	46914
485	15049	46881
486	15080	46850
487	15107	46809
488	15138	46776
489	15164	46732
490	15197	46705
491	15224	46662
492	15254	46628
493	15284	46596
494	15312	46556
495	15342	46523
496	15372	46488
497	15403	46457
498	15431	46417
499	15459	46378
500	15490	46347
501	15523	46322
502	15558	46303
503	15592	46281
504	15623	46251
505	15655	46224
506	15686	46193
507	15717	46163
508	15745	46122
509	15773	46083
510	15805	46056
511	15835	46021
512	15866	45990
513	15900	45968
514	15937	45955
515	15966	45919
516	15996	45886
517	16027	45854
518	16059	45827
519	16093	45805
520	16131	45793
521	16159	45755
522	16190	45723
523	16224	45702
524	16256	45671
525	16283	45630
526	16314	45601
527	16344	45566
528	16379	45546
529	16413	45523
530	16448	45505
531	16478	45470
532	16504	45427
533	16536	45397
534	16570	45376
535	16601	45344
536	16629	45305
537	16656	45264
538	16682	45219
539	16714	45191
540	16745	45161
541	16773	45122
542	16803	45087
543	16834	45057
544	16863	45020
545	16892	44985
546	16921	44949
547	16952	44918
548	16980	44878
549	17014	44856
550	17046	44827
551	17076	44795
552	17105	44757
553	17138	44733
554	17171	44708
555	17203	44678
556	17233	44646
557	17265	44617
558	17294	44582
559	17323	44547
560	17355	44516
561	17386	44487
562	17418	44459
563	17450	44431
564	17480	44396
565	17508	44358
566	17538	44325
567	17571	44300
568	17603	44272
569	17635	44244
570	17665	44211
571	17695	44178
572	17724	44139
573	17753	44106
574	17780	44064
575	17797	44000
576	17824	43959
577	17855	43928
578	17886	43897
579	17915	43861
580	17947	43834
581	17984	43817
582	18014	43784
583	18046	43756
584	18079	43730
585	18110	43700
586	18140	43666
587	18166	43624
588	18195	43588
589	18226	43559
590	18256	43524
591	18287	43495
592	18318	43463
593	18348	43430
594	18381	43405
595	18409	43367
596	18441	43338
597	18473	43310
598	18502	43275
599	18532	43241
600	18563	43212
601	18592	43176
602	18620	43139
603	18651	43108
604	18684	43083
605	18715	43051
606	18745	43019
607	18776	42987
608	18806	42954
609	18835	42920
610	18864	42885
611	18895	42853
612	18924	42819
613	18954	42787
614	18989	42764
615	19022	42738
616	19051	42704
617	19085	42679
618	19117	42651
619	19145	42613
620	19172	42575
621	19203	42543
622	19234	42513
623	19266	42486
624	19297	42454
625	19324	42415
626	19350	42374
627	19381	42343
628	19409	42306
629	19440	42276
630	19473	42249
631	19503	42217
632	19533	42184
633	19564	42153
634	19595	42123
635	19629	42098
636	19657	42061
637	19688	42030
638	19719	41999
639	19748	41965
640	19779	41935
641	19808	41899
642	19837	41866
643	19869	41837
644	19900	41806
645	19928	41769
646	19958	41737
647	19989	41705
648	20020	41676
649	20049	41640
650	20079	41609
651	20108	41574
652	20137	41540
653	20166	41505
654	20195	41470
655	20228	41443
656	20255	41404
657	20283	41368
658	20314	41337
659	20345	41307
660	20377	41279
661	20410	41253
662	20437	41214
663	20468	41184
664	20496	41147
665	20525	41113
666	20559	41089
667	20588	41054
668	20619	41023
669	20650	40993
670	20682	40963
671	20715	40937
672	20745	40904
673	20773	40868
674	20805	40840
675	20833	40804
676	20860	40765
677	20892	40736
678	20927	40714
679	20960	40687
680	20987	40650
681	21017	40618
682	21043	40577
683	21074	40546
684	21101	40508
685	21128	40471
686	21160	40441
687	21189	40407
688	21218	40374
689	21250	40344
690	21283	40318
691	21313	40286
692	21340	40248
693	21372	40220
694	21410	40202
695	21444	40178
696	21474	40144
697	21504	40112
698	21535	40082
699	21565	40050
700	21598	40023
701	21627	39989
702	21655	39953
703	21685	39920
704	21716	39890
705	21747	39861
706	21777	39827
707	21806	39794
708	21838	39765
709	21870	39736
710	21898	39700
711	21927	39667
712	21957	39634
713	21988	39603
714	22020	39575
715	22052	39546
716	22086	39522
717	22117	39491
718	22148	39460
719	22178	39428
720	22206	39393
721	22236	39361
722	22262	39321
723	22292	39289
724	22325	39261
725	22352	39224
726	22379	39187
727	22393	39126
728	22424	39096
729	22454	39065
730	22488	39040
731	22514	39001
732	22544	38969
733	22576	38939
734	22616	38925
735	22651	38901
736	22683	38872
737	22717	38848
738	22753	38825
739	22780	38788
740	22817	38767
741	22839	38722
742	22872	38696
743	22905	38668
744	22943	38650
745	22977	38624
746	23010	38597
747	23048	38577
748	23081	38551
749	23119	38532
750	23151	38503
751	23187	38481
752	23221	38456
753	23255	38430
754	23292	38409
755	23327	38385
756	23362	38361
757	23394	38332
758	23426	38302
759	23458	38274
760	23490	38246
761	23509	38195
762	23542	38168
763	23572	38135
764	23604	38105
765	23634	38074
766	23660	38035
767	23690	38002
768	23722	37974
769	23749	37937
770	23774	37897
771	23806	37868
772	23836	37835
773	23862	37798
774	23890	37763
775	23920	37730
776	23947	37692
777	23980	37666
778	24014	37640
779	24042	37605
780	24075	37576
781	24104	37543
782	24130	37505
783	24160	37472
784	24190	37440
785	24219	37407
786	24250	37377
787	24277	37340
788	24294	37288
789	24325	37258
790	24357	37228
791	24386	37195
792	24415	37162
793	24447	37132
794	24472	37093
795	24497	37053
796	24525	37019
797	24555	36987
798	24586	36957
799	24617	36926
800	24649	36897
801	24677	36862
802	24699	36817
803	24728	36785
804	24759	36754
805	24789	36723
806	24827	36703
807	24861	36677
808	24891	36645
809	24924	36617
810	24953	36584
811	24975	36540
812	25003	36506
813	25032	36472
814	25061	36438
815	25090	36406
816	25117	36369
817	25147	36337
818	25172	36299
819	25201	36265
820	25234	36238
821	25260	36201
822	25286	36163
823	25312	36126
824	25340	36091
825	25367	36055
826	25394	36019
827	25421	35982
828	25446	35943
829	25475	35911
830	25502	35875
831	25527	35836
832	25553	35800
833	25584	35769
834	25610	35731
835	25640	35699
836	25666	35662
837	25693	35627
838	25717	35588
839	25746	35554
840	25769	35513
841	25795	35477
842	25824	35443
843	25852	35409
844	25880	35374
845	25909	35342
846	25937	35307
847	25964	35271
848	25995	35242
849	26025	35211
850	26053	35177
851	26085	35147
852	26113	35113
853	26142	35081
854	26168	35044
855	26199	35013
856	26229	34983
857	26263	34956
858	26290	34921
859	26320	34889
860	26342	34848
861	26374	34818
862	26403	34786
863	26432	34754
864	26462	34722
865	26490	34688
866	26521	34658
867	26552	34628
868	26584	34600
869	26613	34566
870	26643	34535
871	26679	34512
872	26713	34486
873	26744	34455
874	26775	34425
875	26807	34396
876	26826	34350
877	26852	34315
878	26865	34261
879	26893	34227
880	26921	34193
881	26948	34159
882	26978	34128
883	27005	34092
884	27034	34060
885	27062	34026
886	27090	33993
887	27117	33958
888	27146	33925
889	27175	33893
890	27202	33858
891	27227	33820
892	27254	33786
893	27285	33755
894	27311	33720
895	27340	33687
896	27368	33654
897	27395	33619
898	27424	33586
899	27451	33551
900	27478	33517
901	27509	33486
902	27534	33450
903	27562	33416
904	27593	33387
905	27620	33351
906	27648	33318
907	27676	33284
908	27702	33249
909	27732	33218
910	27762	33187
911	27793	33157
912	27821	33124
913	27855	33097
914	27888	33070
915	27917	33038
916	27947	33007
917	27979	32977
918	28015	32953
919	28043	32920
920	28078	32895
921	28113	32870
922	28145	32841
923	28170	32804
924	28199	32772
925	28235	32748
926	28265	32716
927	28293	32683
928	28326	32656
929	28347	32614
930	28373	32578
931	28402	32547
932	28429	32512
933	28459	32481
934	28488	32449
935	28521	32421
936	28550	32390
937	28587	32367
938	28621	32340
939	28643	32300
940	28683	32280
941	28717	32253
942	28747	32222
943	28778	32192
944	28809	32162
945	28842	32135
946	28876	32109
947	28909	32080
948	28940	32050
949	28974	32023
950	29006	31996
951	29038	31966
952	29071	31938
953	29106	31912
954	29137	31883
955	29171	31856
956	29207	31832
957	29237	31801
958	29268	31770
959	29303	31745
960	29335	31716
961	29373	31693
962	29403	31662
963	29432	31630
964	29461	31598
965	29490	31566
966	29517	31531
967	29545	31498
968	29577	31469
969	29595	31426
970	29623	31393
971	29652	31361
972	29680	31327
973	29708	31295
974	29736	31261
975	29763	31227
976	29790	31193
977	29814	31155
978	29839	31120
979	29866	31085
980	29896	31054
981	29924	31021
982	29953	30989
983	29978	30953
984	30002	30915
985	30030	30883
986	30057	30849
