iter	MAE	RMSE
1500	0.5999957811	0.7851848279
1505	0.5999380164	0.7851138857
1510	0.5998766542	0.7850574398
1515	0.5998443174	0.7850111709
1520	0.5998118171	0.7849885692
1525	0.5997669708	0.784945994
1530	0.5997444046	0.784915552
1535	0.5996674667	0.7848332563
1540	0.5996330041	0.7847917406
1545	0.5995639563	0.7847309997
1550	0.5995343177	0.7846949228
1555	0.5994714838	0.7846195597
1560	0.5994280274	0.78459257
1565	0.5994140461	0.7845692007
1570	0.5993537877	0.7844921059
1575	0.5993009696	0.7844324102
1580	0.5992816739	0.7843933228
1585	0.5992293054	0.7843233775
1590	0.5991894466	0.7842893929
1595	0.5991186	0.7842106545
1600	0.5990832789	0.7841607646
1605	0.5990495522	0.7841007308
1610	0.5990336904	0.784070647
1615	0.598990929	0.7840300034
1620	0.5989426896	0.7839725147
1625	0.598894164	0.783912284
1630	0.5988371351	0.7838262321
1635	0.598763386	0.7837544888
1640	0.598719112	0.7837063695
1645	0.5986667028	0.7836537869
1650	0.5986288471	0.7836063135
1655	0.5986102463	0.783579028
1660	0.5985590634	0.7835113841
1665	0.5985393588	0.7834813037
1670	0.5985215347	0.7834550836
1675	0.5984870313	0.7834229138
1680	0.5984449648	0.7833758961
1685	0.5984348673	0.783350951
1690	0.5984043701	0.7833057295
1695	0.5983981154	0.7832976922
1700	0.5983378978	0.7832281971
1705	0.598325838	0.7832152787
1710	0.5982953408	0.78316342
1715	0.5982518027	0.7831097047
1720	0.5981930977	0.7830413676
1725	0.5981154241	0.7829501814
1730	0.5980821061	0.7829123515
1735	0.5980381183	0.7828568173
1740	0.5979794543	0.7827945946
1745	0.5978846106	0.7827100389
1750	0.5978454467	0.7826902435
1755	0.5977999872	0.7826319774
1760	0.5977259519	0.7825390195
1765	0.5976982755	0.7825094764
1770	0.5976528978	0.7824681248
1775	0.5976240767	0.7824207362
1780	0.5975757964	0.7823756177
1785	0.5975450131	0.7823285892
1790	0.597477805	0.7822378425
1795	0.5974359838	0.7821940462
1800	0.5973926501	0.7821457524
1805	0.597336725	0.7820777754
1810	0.5972693533	0.781986137
1815	0.5972272051	0.7819341968
1820	0.5972003464	0.7819096763
1825	0.5971887362	0.7818889195
1830	0.5971258614	0.7818150376
1835	0.5970871881	0.781768786
1840	0.5970562822	0.7817406258
1845	0.5970204296	0.7817066858
1850	0.5970055899	0.7816838317
1855	0.596957514	0.7816462805
1860	0.5969137305	0.7815841706
1865	0.5968616892	0.7815206434
1870	0.5968352801	0.7814865108
1875	0.5967860596	0.7814239697
1880	0.5967298075	0.7813661062
1885	0.5966625175	0.7812755093
1890	0.5966370896	0.7812436683
1895	0.5966124384	0.7812106487
1900	0.5965847621	0.7811682078
1905	0.5964936795	0.7810543229
1910	0.5964580314	0.7810111668
1915	0.5964215656	0.7809709136
1920	0.5963815432	0.7809084882
1925	0.596351087	0.7808777056
1930	0.5963052186	0.7808229168
1935	0.5962655233	0.7807693546
1940	0.5962230481	0.7807091124
1945	0.5962134002	0.7806984563
1950	0.5961856012	0.7806642354
1955	0.5961768935	0.7806503319
1960	0.5961362579	0.7805979624
1965	0.5961231352	0.7805741593
1970	0.5960755498	0.7805089
1975	0.5960560497	0.7804812443
1980	0.5960102631	0.7804160297
1985	0.595977681	0.7803761649
1990	0.5959370454	0.7803173854
1995	0.5959149697	0.7802967173
1999	0.5958852493	0.7802775941
